product_id,product_name,product_category,brand,launch_date,price,cost,supplier_id,stock_quantity,rating,warranty_period
PROD-MZ267,Essential Coffee Maker Plus 914,Home & Garden,Dyson,2019-07-03,197.33,147.7,SUP00361,340,3.9,19
PROD-LY909,Executive Bench Elite 778,Furniture,Rooms To Go,2019-07-11,1371.72,906.91,SUP00385,504,4.3,38
PROD-OJ745,Ultra Router Elite 770,Electronics,LG,2022-10-08,1309.49,807.71,SUP00022,322,4.5,31
PROD-HI356,Classic Sneakers X 122,Apparel,Nike,2018-05-26,139.29,88.18,SUP00159,445,4.7,4
PROD-XG556,Heavy Duty Blender Series 206,Home & Garden,Bosch,2021-11-10,182.38,148.38,SUP00492,108,4.8,23
PROD-AW584,All-Weather Basketball Pro 708,Sports,TaylorMade,2018-10-24,639.37,500.58,SUP00154,211,4.1,12
PROD-GF241,All-Weather Gloves Edition 281,Sports,Yonex,2018-01-15,375.99,273.91,SUP00271,250,3.6,6
PROD-QA970,Premium Iron Model 463,Home & Garden,Bosch,2018-06-15,144.9,116.36,SUP00097,188,4.7,23
PROD-SF370,Ultra Speaker Elite 549,Electronics,Apple,2021-03-10,1199.38,1001.39,SUP00284,1246,4.3,33
PROD-LP163,Pro Tablet Edition 361,Electronics,Canon,2018-05-04,1407.31,1192.97,SUP00370,250,4.7,26
PROD-GP839,All-Weather Gloves Series 424,Sports,Yonex,2019-06-12,128.29,103.25,SUP00072,332,2.8,8
PROD-EF640,Smart Mixer Series 114,Home & Garden,Bosch,2017-03-07,107.04,72.81,SUP00398,461,4.6,21
PROD-HH770,Regular Sneakers Series 773,Apparel,Under Armour,2021-03-04,300.0,253.17,SUP00367,123,4.5,0
PROD-OS513,Practical Technology,Books,Macmillan,2024-12-16,11.83,7.36,SUP00350,502,3.6,0
PROD-AA394,Competition Yoga Mat Plus 772,Sports,Columbia,2018-04-03,800.0,632.79,SUP00476,275,4.8,8
PROD-AR119,Essential Iron Elite 173,Home & Garden,KitchenAid,2015-04-05,370.76,260.5,SUP00075,282,4.8,12
PROD-JW578,Comfort Sneakers Series 978,Apparel,Nike,2015-01-03,83.32,56.87,SUP00306,89,4.7,4
PROD-SM370,Classic Pants Pro 998,Apparel,Gap,2023-08-19,111.5,69.97,SUP00029,973,4.3,1
PROD-CD718,Advanced History,Books,Cambridge,2015-05-21,13.18,8.03,SUP00312,230,4.1,0
PROD-RY245,Premium Boots X 469,Apparel,Forever 21,2023-10-10,270.71,187.93,SUP00416,574,4.1,0
PROD-LM374,Performance Dumbbell Set Edition 468,Sports,Callaway,2020-08-23,320.58,210.62,SUP00387,572,3.7,9
PROD-LS183,Essential Art,Books,Oxford,2018-08-02,34.08,26.74,SUP00486,667,4.4,0
PROD-GC797,Modern Ottoman X 610,Furniture,Ethan Allen,2021-04-07,1566.19,960.73,SUP00012,529,3.5,52
PROD-IR573,Professional Coffee Maker Plus 475,Home & Garden,Dyson,2020-06-24,204.01,161.71,SUP00476,502,4.2,17
PROD-CU231,4K Laptop Pro 313,Electronics,Asus,2018-09-30,550.16,381.33,SUP00085,41,4.0,6
PROD-RM877,Smart Mixer Max 139,Home & Garden,Black+Decker,2019-05-22,500.0,387.46,SUP00084,705,2.6,21
PROD-ZJ401,4K Tablet Model 708,Electronics,Asus,2021-01-20,759.98,456.0,SUP00009,110,4.7,27
PROD-GZ825,Eco Fan Elite 202,Home & Garden,Miracle-Gro,2021-09-06,211.35,132.07,SUP00292,142,4.8,16
PROD-MJ661,Ultra Laptop X 893,Electronics,Asus,2021-02-23,1984.79,1288.58,SUP00350,1021,3.6,13
PROD-AI297,Executive Cabinet Edition 293,Furniture,Ethan Allen,2017-03-26,2490.37,1838.03,SUP00311,529,3.8,25
PROD-KJ762,Contemporary Table Series 686,Furniture,West Elm,2016-09-21,2382.61,1765.77,SUP00362,424,4.1,51
PROD-YM344,Rustic Cabinet Plus 858,Furniture,Havertys,2016-08-05,2164.42,1767.51,SUP00228,207,4.5,53
PROD-YI862,Pro Tennis Racket Max 879,Sports,Columbia,2016-12-07,268.88,212.93,SUP00141,489,4.5,8
PROD-YH757,Elite Helmet Plus 177,Sports,TaylorMade,2021-06-03,257.31,205.31,SUP00175,469,4.4,4
PROD-SE419,Compact Vacuum Series 109,Home & Garden,Black+Decker,2016-03-11,500.0,307.8,SUP00066,82,4.7,21
PROD-WO989,Professional Fan Edition 476,Home & Garden,Dyson,2018-04-08,171.27,104.68,SUP00092,103,4.8,17
PROD-TI930,Practical Science,Books,Simon & Schuster,2015-03-09,30.91,25.92,SUP00203,141,1.6,0
PROD-BK499,Luxury Bench Edition 984,Furniture,Rooms To Go,2017-07-26,3000.0,2355.31,SUP00234,91,4.5,56
PROD-GD661,Casual Jeans Model 648,Apparel,Levi's,2019-12-29,154.66,102.72,SUP00239,986,4.2,3
PROD-LH911,Pro Tablet X 272,Electronics,Samsung,2016-06-08,1307.99,1057.59,SUP00368,1255,4.2,20
PROD-ML183,Compact Cabinet Pro 831,Furniture,Wayfair,2019-02-20,2251.83,1524.64,SUP00257,83,3.7,50
PROD-RR867,Digital Headphones Elite 850,Electronics,Nikon,2017-10-21,1088.87,742.45,SUP00235,396,3.0,33
PROD-FT948,Formal Sweater Edition 940,Apparel,Adidas,2016-11-29,172.23,111.85,SUP00319,464,4.9,2
PROD-CY859,Pro Headphones Edition 973,Electronics,Samsung,2022-02-15,905.26,702.22,SUP00104,168,4.8,14
PROD-UY263,Compact Mixer Model 216,Home & Garden,Black+Decker,2020-01-21,270.81,171.41,SUP00335,435,4.5,8
PROD-OU692,Performance Golf Club Series 725,Sports,Decathlon,2020-08-04,166.02,134.81,SUP00456,313,4.7,6
PROD-DG407,Regular Jeans X 218,Apparel,Levi's,2018-06-15,222.29,134.27,SUP00439,875,3.8,4
PROD-OZ693,Indoor Basketball Model 472,Sports,Decathlon,2016-02-02,328.81,250.65,SUP00084,440,2.6,4
PROD-EK547,Smart TV Elite 402,Electronics,Canon,2020-03-17,1581.07,1224.67,SUP00173,69,4.1,31
PROD-LM763,Eco Vacuum Plus 131,Home & Garden,Cuisinart,2016-10-27,341.68,229.58,SUP00192,315,4.7,18
PROD-PX796,Pro Camera Pro 313,Electronics,Nikon,2019-10-24,337.8,250.69,SUP00451,1418,4.3,18
PROD-FY959,Premium Sneakers X 487,Apparel,Levi's,2024-04-04,60.33,36.61,SUP00195,614,4.1,6
PROD-SG745,Regular Sweater X 869,Apparel,Uniqlo,2016-01-06,123.82,93.77,SUP00034,309,4.1,1
PROD-RA538,Pro Router Edition 180,Electronics,Canon,2021-05-17,924.08,699.45,SUP00091,379,4.0,14
PROD-GK812,4K Laptop Max 995,Electronics,Nikon,2021-07-04,1128.16,680.7,SUP00293,839,4.8,16
PROD-WB215,Eco Heater Edition 431,Home & Garden,Bosch,2024-06-17,137.72,116.29,SUP00316,953,2.9,24
PROD-EH297,Digital Smartphone Elite 696,Electronics,LG,2016-11-23,1578.85,1313.88,SUP00319,1073,4.7,18
PROD-FV895,Practical Philosophy,Books,Macmillan,2021-09-05,31.8,26.78,SUP00328,298,3.7,0
PROD-FD892,Pro Helmet Edition 450,Sports,Yonex,2023-12-07,560.78,447.31,SUP00258,183,3.6,9
PROD-YV590,Classic Sweater Series 946,Apparel,Zara,2023-08-04,279.99,203.62,SUP00429,413,4.0,5
PROD-RI626,Professional Heater Series 313,Home & Garden,KitchenAid,2015-12-10,414.12,284.17,SUP00219,494,4.7,23
PROD-ZX972,Heavy Duty Vacuum Edition 877,Home & Garden,Bosch,2017-08-03,278.26,175.19,SUP00307,331,4.2,11
PROD-SZ830,Modern Bed Max 925,Furniture,Pottery Barn,2024-01-02,1732.57,1425.45,SUP00045,374,4.1,19
PROD-MC445,Compact Lawn Mower X 919,Home & Garden,Miracle-Gro,2023-02-11,275.49,204.6,SUP00004,340,4.5,18
PROD-XN392,A Guide to Science,Books,Wiley,2020-02-29,60.0,44.12,SUP00038,1007,3.8,0
PROD-WL920,Competition Golf Club Series 169,Sports,Decathlon,2019-09-17,800.0,604.21,SUP00023,473,4.2,3
PROD-HZ851,Essential Travel,Books,Scholastic,2024-10-06,13.43,9.9,SUP00137,13,4.0,0
PROD-JZ795,Pro Helmet Elite 851,Sports,Yonex,2018-05-31,397.93,260.22,SUP00366,530,4.2,12
PROD-QV567,Deluxe Coffee Maker Edition 300,Home & Garden,Bosch,2019-01-16,178.81,134.58,SUP00436,232,4.2,21
PROD-AX769,Luxury Cabinet X 527,Furniture,West Elm,2024-03-07,1289.22,791.8,SUP00207,870,4.1,21
PROD-UP977,Luxury Bookshelf Max 533,Furniture,Crate & Barrel,2024-11-15,938.02,790.22,SUP00382,353,4.9,12
PROD-MQ213,Indoor Tennis Racket Plus 779,Sports,Decathlon,2020-03-26,369.9,235.49,SUP00237,234,4.6,10
PROD-KL704,Practical Science,Books,Hachette,2024-01-10,29.72,22.67,SUP00040,30,4.6,0
PROD-GZ782,Smart Monitor Pro 952,Electronics,HP,2020-01-12,351.32,230.04,SUP00328,71,3.9,33
PROD-IF573,Performance Tennis Racket X 936,Sports,Wilson,2016-07-15,800.0,490.94,SUP00477,436,4.3,7
PROD-TS288,Pro Yoga Mat Max 526,Sports,Adidas,2023-09-26,384.86,269.33,SUP00300,225,3.7,11
PROD-QO807,HD Speaker Model 473,Electronics,Lenovo,2024-02-04,1905.44,1383.68,SUP00338,297,4.1,11
PROD-SO998,Premium Mixer Edition 561,Home & Garden,KitchenAid,2016-06-05,460.25,303.52,SUP00292,145,4.5,8
PROD-BJ945,Practical Science,Books,HarperCollins,2018-11-21,29.48,23.75,SUP00153,885,1.4,0
PROD-RS528,Competition Gloves Plus 881,Sports,Spalding,2020-01-03,734.66,501.37,SUP00268,819,5.0,12
PROD-WK726,Ultra Headphones Edition 613,Electronics,Apple,2023-09-03,2000.0,1627.89,SUP00477,703,4.0,22
PROD-AU411,Introduction to Philosophy,Books,Oxford,2023-11-21,60.0,38.01,SUP00412,46,2.9,0
PROD-XU795,4K Tablet Series 891,Electronics,Canon,2019-01-26,546.01,415.05,SUP00273,239,4.2,17
PROD-TS405,Digital Speaker Edition 445,Electronics,Canon,2018-03-03,1892.31,1260.14,SUP00158,495,3.5,36
PROD-FH907,Ultra Printer Model 865,Electronics,Apple,2021-01-18,1320.76,902.12,SUP00379,246,3.9,15
PROD-VP990,Luxury Sofa Pro 960,Furniture,IKEA,2017-05-17,852.84,666.41,SUP00427,214,4.8,22
PROD-WL133,Training Football Edition 899,Sports,TaylorMade,2024-07-23,337.52,253.28,SUP00293,113,3.1,9
PROD-UT510,Formal Sweater Series 432,Apparel,Gap,2019-11-29,112.65,83.64,SUP00485,529,4.8,5
PROD-RX890,Comfort Sneakers Elite 202,Apparel,Puma,2023-08-25,104.52,67.03,SUP00017,460,4.0,5
PROD-UZ354,Wireless Printer Elite 278,Electronics,Apple,2016-03-18,1491.65,1191.35,SUP00121,412,3.7,17
PROD-PM312,Classic Boots Pro 339,Apparel,Under Armour,2024-04-23,300.0,197.1,SUP00279,228,4.1,0
PROD-GY179,Introduction to Fiction,Books,Cambridge,2019-09-12,19.6,15.27,SUP00129,35,3.4,0
PROD-EU852,Professional Heater X 536,Home & Garden,Rubbermaid,2024-05-23,208.99,177.61,SUP00315,482,4.6,18
PROD-QD129,Professional Iron Max 462,Home & Garden,Black+Decker,2021-08-29,216.11,136.15,SUP00321,41,4.2,19
PROD-NU261,Premium Headphones Model 721,Electronics,Apple,2023-02-08,700.07,559.62,SUP00085,199,4.2,13
PROD-UQ127,Pro Router X 129,Electronics,Asus,2015-03-08,490.78,357.51,SUP00226,221,3.0,28
PROD-TC945,Performance Golf Club Pro 582,Sports,Wilson,2020-07-10,800.0,601.56,SUP00010,70,4.8,6
PROD-PT363,Introduction to Fiction,Books,Cambridge,2015-09-16,17.23,14.33,SUP00051,559,2.8,0
PROD-RQ756,Premium Printer Model 845,Electronics,Lenovo,2024-02-03,1051.4,702.54,SUP00110,217,3.9,9
PROD-TD762,Luxury Ottoman Plus 826,Furniture,La-Z-Boy,2015-03-29,2415.16,1998.93,SUP00264,513,3.3,28
PROD-RL517,Sport Dress Elite 194,Apparel,Forever 21,2024-12-18,66.11,50.98,SUP00215,461,3.9,1
PROD-RA134,Premium Coffee Maker Pro 876,Home & Garden,KitchenAid,2015-09-16,61.29,43.13,SUP00142,207,4.2,22
PROD-UR902,Formal Jeans Model 577,Apparel,Levi's,2017-04-29,174.83,118.53,SUP00320,631,4.5,2
PROD-WW562,Eco Vacuum Edition 946,Home & Garden,Rubbermaid,2018-09-12,129.02,93.27,SUP00436,168,4.6,8
PROD-WL798,Pro Monitor Pro 373,Electronics,HP,2016-04-19,1012.7,827.31,SUP00173,883,2.7,26
PROD-AM183,Outdoor Bicycle Pro 758,Sports,Yonex,2016-04-27,758.1,612.63,SUP00189,797,3.4,5
PROD-GM567,Wireless Speaker Plus 585,Electronics,LG,2024-02-25,1161.09,774.04,SUP00294,113,4.4,31
PROD-VE486,Regular Jacket Edition 628,Apparel,Uniqlo,2023-05-08,230.31,146.13,SUP00174,420,4.3,2
PROD-OA456,Regular Jacket Pro 673,Apparel,Uniqlo,2017-05-24,261.84,203.54,SUP00061,210,4.5,3
PROD-QD790,Pro Headphones Edition 916,Electronics,LG,2020-05-17,1429.23,1108.03,SUP00064,462,4.9,29
PROD-CK199,Elite Golf Club Max 301,Sports,The North Face,2023-06-12,119.25,73.48,SUP00434,359,3.6,11
PROD-IP934,Premium Printer Elite 744,Electronics,Lenovo,2015-03-06,2000.0,1426.22,SUP00227,169,4.6,22
PROD-GL506,Essential Business,Books,Cambridge,2022-10-27,60.0,45.91,SUP00180,545,3.9,0
PROD-GS343,Advanced Travel,Books,Penguin,2017-08-01,60.0,46.25,SUP00443,676,4.8,0
PROD-KZ914,Outdoor Treadmill Edition 958,Sports,Decathlon,2015-11-14,800.0,514.25,SUP00335,688,2.8,5
PROD-CF540,Practical Cooking,Books,Macmillan,2022-11-02,24.32,20.13,SUP00201,114,4.0,0
PROD-JS941,Outdoor Football Model 727,Sports,Columbia,2023-01-11,529.23,444.55,SUP00447,658,4.6,11
PROD-IN556,Contemporary Cabinet Pro 411,Furniture,Wayfair,2015-06-30,905.09,587.36,SUP00450,592,3.9,50
PROD-EO950,Professional Toaster X 549,Home & Garden,OXO,2015-06-09,273.94,200.41,SUP00336,65,2.9,9
PROD-OP672,HD Router Model 393,Electronics,HP,2021-09-13,865.65,692.98,SUP00437,347,4.7,14
PROD-RR273,Heavy Duty Toaster Pro 918,Home & Garden,Philips,2016-01-06,269.96,196.51,SUP00150,354,4.7,8
PROD-US592,Digital Speaker Elite 617,Electronics,Sony,2020-03-04,2000.0,1324.59,SUP00417,286,4.3,34
PROD-WA281,Training Gloves X 204,Sports,Spalding,2017-09-03,367.43,273.74,SUP00487,296,4.5,4
PROD-ED112,Training Bicycle Model 757,Sports,Decathlon,2021-08-17,316.87,265.01,SUP00051,80,4.5,5
PROD-YO930,Smart TV Pro 908,Electronics,Nikon,2015-09-13,1655.2,1045.78,SUP00401,252,4.8,35
PROD-HL214,Compact Coffee Maker Pro 319,Home & Garden,Scotts,2022-09-16,385.21,280.74,SUP00080,621,4.2,22
PROD-LM495,Deluxe Iron Max 323,Home & Garden,Miracle-Gro,2021-05-15,115.93,73.0,SUP00157,289,4.8,8
PROD-FI899,Contemporary Table Pro 885,Furniture,Wayfair,2016-01-09,612.59,438.6,SUP00014,69,4.1,46
PROD-UY821,Pro Router Model 790,Electronics,Canon,2023-09-26,731.25,442.92,SUP00427,249,4.3,31
PROD-UL501,HD Camera Edition 343,Electronics,Apple,2018-04-18,542.51,345.92,SUP00267,133,4.8,21
PROD-FC496,Premium Mixer Edition 516,Home & Garden,Rubbermaid,2019-09-06,366.51,284.79,SUP00002,339,4.6,11
PROD-FL234,Executive Sofa Plus 727,Furniture,Crate & Barrel,2020-04-30,2273.22,1866.63,SUP00076,745,4.4,21
PROD-UV743,Premium Monitor X 964,Electronics,Canon,2020-02-19,1196.41,817.43,SUP00423,985,4.1,22
PROD-LV544,Compact Cabinet Pro 443,Furniture,West Elm,2020-03-06,1136.39,930.27,SUP00477,553,3.7,19
PROD-GK897,Pro Yoga Mat X 565,Sports,Nike,2023-09-21,248.66,194.75,SUP00073,592,4.1,9
PROD-LI662,Outdoor Golf Club Max 736,Sports,Wilson,2023-12-11,244.02,158.72,SUP00295,289,3.9,11
PROD-SA896,Essential Toaster Series 737,Home & Garden,Dyson,2016-06-08,500.0,327.77,SUP00062,616,4.3,15
PROD-ML504,Heavy Duty Toaster Pro 687,Home & Garden,Black+Decker,2022-12-08,394.37,300.8,SUP00253,102,3.9,6
PROD-YV678,Elite Basketball Series 470,Sports,TaylorMade,2023-07-31,569.85,451.49,SUP00184,418,3.8,3
PROD-JW561,Smart Smartphone Series 330,Electronics,Lenovo,2020-12-01,677.93,435.47,SUP00424,62,4.6,18
PROD-IM175,Wireless Smartphone X 425,Electronics,Lenovo,2019-11-25,686.94,547.79,SUP00480,388,3.9,15
PROD-RM381,Classic Bed Max 318,Furniture,Rooms To Go,2017-05-02,732.6,560.69,SUP00468,154,4.3,57
PROD-AQ886,Executive Desk Max 437,Furniture,Pottery Barn,2017-09-10,771.26,531.76,SUP00403,257,4.5,12
PROD-IM852,HD Printer Elite 153,Electronics,Sony,2019-03-16,1137.28,923.99,SUP00199,421,3.4,21
PROD-QI495,Eco Heater Edition 368,Home & Garden,Cuisinart,2020-09-28,200.6,125.75,SUP00048,956,4.2,19
PROD-HI746,Deluxe Vacuum X 907,Home & Garden,OXO,2022-07-14,275.79,218.54,SUP00290,30,4.1,14
PROD-OB486,Comfort Pants X 417,Apparel,Forever 21,2021-07-04,132.36,84.24,SUP00488,525,4.4,3
PROD-UD556,Sport Pants Max 428,Apparel,Under Armour,2018-06-27,90.67,65.12,SUP00321,125,4.9,1
PROD-SV651,Premium Sneakers Model 125,Apparel,Levi's,2018-09-13,218.6,134.6,SUP00177,406,4.0,1
PROD-NE378,Comfort Dress X 287,Apparel,Forever 21,2017-07-07,121.13,81.46,SUP00135,652,4.3,5
PROD-FV353,Slim Fit Shoes X 146,Apparel,Levi's,2023-11-11,247.11,199.66,SUP00493,307,4.9,4
PROD-IC644,Formal Dress Pro 130,Apparel,Zara,2018-02-07,116.19,76.52,SUP00467,242,3.8,0
PROD-VM231,Rustic Desk Elite 163,Furniture,IKEA,2022-07-26,3000.0,2419.29,SUP00492,460,3.0,58
PROD-SD648,Rustic Dresser Plus 422,Furniture,Pottery Barn,2024-02-13,1184.39,796.95,SUP00056,741,4.6,27
PROD-TZ899,Eco Heater Edition 329,Home & Garden,Bosch,2020-03-30,144.97,109.93,SUP00466,501,4.5,19
PROD-CO981,Formal Shoes Edition 440,Apparel,Forever 21,2023-04-21,119.09,97.83,SUP00011,689,4.0,2
PROD-AT506,Executive Dresser Model 316,Furniture,Ashley,2018-05-04,1620.79,1089.41,SUP00367,743,4.0,40
PROD-BZ377,Classic Table X 711,Furniture,Wayfair,2016-12-27,1331.13,1107.98,SUP00343,186,4.8,46
PROD-VH364,Wireless Camera Pro 193,Electronics,Lenovo,2015-08-09,534.26,402.03,SUP00329,305,4.5,22
PROD-CK317,Essential Heater Model 404,Home & Garden,Rubbermaid,2015-12-22,201.05,141.63,SUP00456,297,4.6,18
PROD-SM729,Sport Dress Series 411,Apparel,H&M,2017-12-23,144.71,96.12,SUP00441,377,3.9,6
PROD-GW464,HD Router Elite 945,Electronics,LG,2021-09-10,487.44,386.16,SUP00096,474,3.1,25
PROD-KC795,Deluxe Trimmer X 693,Home & Garden,OXO,2020-09-23,286.34,214.5,SUP00222,243,4.3,23
PROD-CY931,Premium Smartphone Plus 550,Electronics,Nikon,2017-04-21,472.23,385.65,SUP00182,552,4.7,26
PROD-PR607,Formal Jacket Max 584,Apparel,Levi's,2020-06-11,300.0,232.37,SUP00136,129,4.7,2
PROD-WM645,Smart Toaster Plus 980,Home & Garden,Black+Decker,2016-08-27,500.0,338.75,SUP00457,606,3.1,22
PROD-LK152,Complete Cooking,Books,Penguin,2021-12-10,41.67,31.28,SUP00462,521,4.0,0
PROD-TY709,Contemporary Ottoman Elite 723,Furniture,Ashley,2020-03-19,1703.38,1223.02,SUP00414,583,3.7,54
PROD-GR882,Slim Fit Sneakers Edition 154,Apparel,Adidas,2023-03-08,133.93,82.74,SUP00379,87,4.2,3
