transaction_id,transaction_date,department,transaction_type,description,amount,currency,profit_margin,cost_center,payment_method,approval_status
TXN-100335,2023-01-02,Operations,Expense,Utilities,5278.91,USD,,CC-OPS-02,UPI,Pending
TXN-100358,2023-01-02,Operations,Revenue,Service Fees,1830.57,GBP,0.34,CC-OPS-02,UPI,Approved
TXN-107089,2023-01-02,Operations,Expense,Logistics Costs,18306.14,USD,,CC-OPS-02,UPI,Approved
TXN-102695,2023-01-02,Sales,Revenue,License Sales,37075.98,INR,0.69,CC-SALES-01,Bank Transfer,Approved
TXN-122062,2023-01-02,IT,Expense,Cybersecurity,29714.32,USD,,CC-IT-02,Bank Transfer,Pending
TXN-103596,2023-01-02,Sales,Revenue,License Sales,5308.97,USD,0.55,CC-SALES-01,Bank Transfer,Approved
TXN-102541,2023-01-02,Sales,Revenue,Contract Revenue,39552.05,USD,0.75,CC-SALES-01,Bank Transfer,Approved
TXN-109741,2023-01-02,Marketing,Revenue,Campaign Revenue,1133.9,USD,0.61,CC-MKT-03,Bank Transfer,Approved
TXN-105244,2023-01-02,Operations,Expense,Logistics Costs,30324.52,EUR,,CC-OPS-02,Credit,Approved
TXN-109326,2023-01-02,HR,Expense,Payroll Taxes,3127.27,USD,,CC-HR-01,UPI,Approved
TXN-109308,2023-01-02,HR,Expense,Payroll Taxes,20105.99,USD,,CC-HR-01,UPI,Approved
TXN-129436,2023-01-02,Marketing,Revenue,Affiliate Revenue,796.75,EUR,0.46,CC-MKT-03,Bank Transfer,Approved
TXN-119922,2023-01-02,HR,Revenue,Recruitment Fees,1147.79,USD,0.45,CC-HR-01,Bank Transfer,Approved
TXN-126840,2023-01-02,IT,Expense,Software Licenses,1021.09,INR,,CC-IT-02,UPI,Approved
TXN-110672,2023-01-02,Operations,Expense,Logistics Costs,1269.47,EUR,,CC-OPS-04,Bank Transfer,Approved
TXN-106385,2023-01-02,Sales,Revenue,Contract Revenue,4055.82,INR,0.64,CC-SALES-02,Cash,Pending
TXN-123659,2023-01-02,Sales,Revenue,Contract Revenue,342395.89,USD,0.74,CC-SALES-03,UPI,Pending
TXN-125865,2023-01-02,Marketing,Expense,Advertising Spend,274.99,EUR,,CC-MKT-01,Credit,Approved
TXN-106489,2023-01-02,Sales,Revenue,Service Revenue,221.28,EUR,0.75,CC-SALES-02,Bank Transfer,Pending
TXN-118481,2023-01-02,Sales,Revenue,Subscription Revenue,1093.47,USD,0.55,CC-SALES-01,Bank Transfer,Approved
TXN-111650,2023-01-02,Sales,Revenue,Service Revenue,96597.66,USD,0.53,CC-SALES-03,UPI,Approved
TXN-106681,2023-01-02,Sales,Revenue,Product Sales,1888.44,USD,0.69,CC-SALES-03,UPI,Approved
TXN-105853,2023-01-02,Operations,Expense,Logistics Costs,1554.54,USD,,CC-OPS-03,Bank Transfer,Approved
TXN-104309,2023-01-02,Sales,Revenue,Service Revenue,23062.89,INR,0.47,CC-SALES-03,Bank Transfer,Approved
TXN-111368,2023-01-02,Marketing,Expense,Content Creation,382.47,EUR,,CC-MKT-01,Credit,Rejected
TXN-121263,2023-01-02,Sales,Revenue,License Sales,7419.08,INR,0.7,CC-SALES-02,UPI,Approved
TXN-103566,2023-01-02,HR,Expense,Salaries,7254.01,EUR,,CC-HR-02,Bank Transfer,Approved
TXN-113353,2023-01-02,IT,Expense,Software Licenses,12399.7,EUR,,CC-IT-01,Bank Transfer,Approved
TXN-116172,2023-01-02,Operations,Revenue,Service Fees,6049.76,GBP,0.53,CC-OPS-03,Credit,Approved
TXN-119711,2023-01-02,HR,Expense,Recruitment Costs,22282.22,USD,,CC-HR-02,UPI,Approved
TXN-127070,2023-01-02,Sales,Revenue,Contract Revenue,38724.77,EUR,0.74,CC-SALES-02,Cash,Approved
TXN-102352,2023-01-02,Marketing,Expense,Advertising Spend,2582.66,EUR,,CC-MKT-02,Bank Transfer,Approved
TXN-110989,2023-01-02,Marketing,Revenue,Sponsorship Income,12451.53,USD,0.42,CC-MKT-02,Credit,Approved
TXN-100920,2023-01-02,Sales,Revenue,Subscription Revenue,19077.89,USD,0.6,CC-SALES-02,Credit,Approved
TXN-105813,2023-01-02,Sales,Expense,Sales Commission,5117.66,GBP,,CC-SALES-02,Bank Transfer,Approved
TXN-126246,2023-01-02,Operations,Revenue,Service Fees,5393.15,INR,0.19,CC-OPS-03,Cash,Approved
TXN-127645,2023-01-02,Operations,Revenue,Consulting Revenue,3924.35,INR,0.56,CC-OPS-01,Cash,Approved
TXN-105761,2023-01-02,IT,Expense,Cloud Infrastructure,11884.62,GBP,,CC-IT-01,UPI,Approved
TXN-110711,2023-01-02,IT,Expense,IT Support,4320.85,INR,,CC-IT-01,UPI,Rejected
TXN-129928,2023-01-02,IT,Expense,Cloud Infrastructure,11529.38,INR,,CC-IT-02,UPI,Approved
TXN-118499,2023-01-03,Operations,Revenue,Consulting Revenue,8193.52,USD,0.59,CC-OPS-01,Bank Transfer,Approved
TXN-125840,2023-01-03,Marketing,Expense,Advertising Spend,1496.35,INR,,CC-MKT-02,Bank Transfer,Approved
TXN-105879,2023-01-03,Sales,Expense,Sales Commission,3860.54,INR,,CC-SALES-01,Credit,Approved
TXN-107936,2023-01-03,Operations,Expense,Supplies,9410.99,EUR,,CC-OPS-01,UPI,Approved
TXN-106015,2023-01-03,Operations,Expense,Supplies,6881.12,USD,,CC-OPS-01,Bank Transfer,Approved
TXN-107637,2023-01-03,Sales,Revenue,License Sales,3989.03,INR,0.54,CC-SALES-02,Bank Transfer,Approved
TXN-114566,2023-01-03,IT,Revenue,Software Sales,149442.69,GBP,0.73,CC-IT-01,Bank Transfer,Pending
TXN-113343,2023-01-03,IT,Expense,IT Support,1606.0,USD,,CC-IT-01,Bank Transfer,Approved
TXN-123594,2023-01-03,Operations,Expense,Office Rent,318.18,GBP,,CC-OPS-01,UPI,Approved
TXN-126859,2023-01-03,Marketing,Revenue,Event Revenue,52462.34,GBP,0.46,CC-MKT-03,UPI,Approved
TXN-108220,2023-01-03,Operations,Expense,Maintenance,3767.0,INR,,CC-OPS-02,Credit,Approved
TXN-108549,2023-01-03,Operations,Expense,Supplies,725.3,GBP,,CC-OPS-04,Credit,Approved
TXN-128164,2023-01-03,Sales,Revenue,License Sales,44392.35,GBP,0.58,CC-SALES-02,Bank Transfer,Approved
TXN-124738,2023-01-03,Sales,Expense,Client Entertainment,604.29,USD,,CC-SALES-03,UPI,Approved
TXN-108410,2023-01-03,IT,Expense,Cloud Infrastructure,21435.0,INR,,CC-IT-01,Credit,Approved
TXN-113159,2023-01-03,IT,Expense,Network Costs,6016.79,USD,,CC-IT-02,UPI,Approved
TXN-105470,2023-01-03,Operations,Expense,Maintenance,921.08,USD,,CC-OPS-01,UPI,Approved
TXN-119963,2023-01-03,HR,Expense,Recruitment Costs,11777.31,INR,,CC-HR-02,Bank Transfer,Approved
TXN-104944,2023-01-03,Sales,Expense,Sales Commission,758.29,EUR,,CC-SALES-01,Bank Transfer,Approved
TXN-119921,2023-01-03,Operations,Expense,Supplies,2547.03,EUR,,CC-OPS-02,Bank Transfer,Approved
TXN-106910,2023-01-03,Sales,Revenue,License Sales,31235.6,USD,0.7,CC-SALES-03,UPI,Approved
TXN-113818,2023-01-03,Operations,Expense,Maintenance,4621.35,USD,,CC-OPS-03,UPI,Approved
TXN-103335,2023-01-03,Operations,Expense,Maintenance,3655.71,USD,,CC-OPS-04,Bank Transfer,Approved
TXN-110787,2023-01-03,Operations,Revenue,Service Fees,4710.31,INR,0.44,CC-OPS-04,Bank Transfer,Approved
TXN-110991,2023-01-03,Operations,Revenue,Consulting Revenue,2372.86,INR,0.18,CC-OPS-02,UPI,Pending
TXN-111175,2023-01-03,Marketing,Expense,Content Creation,4439.33,USD,,CC-MKT-02,Bank Transfer,Rejected
TXN-115909,2023-01-03,Marketing,Revenue,Campaign Revenue,1348.39,INR,0.4,CC-MKT-02,Credit,Approved
TXN-103988,2023-01-03,HR,Expense,Payroll Taxes,3985.37,INR,,CC-HR-02,Credit,Approved
TXN-104285,2023-01-03,Sales,Revenue,Product Sales,7601.83,INR,0.71,CC-SALES-02,Bank Transfer,Approved
TXN-128591,2023-01-03,IT,Revenue,Software Sales,7963.69,USD,0.52,CC-IT-02,UPI,Approved
TXN-115800,2023-01-03,IT,Expense,Software Licenses,233.03,USD,,CC-IT-01,Bank Transfer,Approved
TXN-111636,2023-01-03,Sales,Revenue,License Sales,8705.21,USD,0.76,CC-SALES-02,UPI,Approved
TXN-104134,2023-01-03,IT,Expense,Cybersecurity,2635.67,INR,,CC-IT-01,UPI,Approved
TXN-100579,2023-01-03,Operations,Expense,Office Rent,3400.75,EUR,,CC-OPS-02,UPI,Approved
TXN-124811,2023-01-03,IT,Expense,Network Costs,4122.72,INR,,CC-IT-02,Bank Transfer,Approved
TXN-129711,2023-01-03,Sales,Revenue,License Sales,36924.07,EUR,0.59,CC-SALES-01,UPI,Approved
TXN-110431,2023-01-03,Operations,Revenue,Service Fees,9671.23,EUR,0.26,CC-OPS-03,Credit,Pending
TXN-110732,2023-01-03,IT,Expense,Network Costs,5549.01,INR,,CC-IT-01,Bank Transfer,Approved
TXN-118690,2023-01-03,Sales,Revenue,Service Revenue,51740.74,USD,0.68,CC-SALES-03,Bank Transfer,Approved
TXN-100344,2023-01-03,Sales,Revenue,Product Sales,18868.36,EUR,0.69,CC-SALES-03,UPI,Approved
TXN-120865,2023-01-03,HR,Expense,Training Programs,2928.89,GBP,,CC-HR-01,Bank Transfer,Approved
TXN-109566,2023-01-03,Sales,Revenue,Product Sales,1999.55,USD,0.69,CC-SALES-01,Bank Transfer,Approved
TXN-124415,2023-01-03,Operations,Expense,Maintenance,1127.63,INR,,CC-OPS-03,Bank Transfer,Approved
TXN-118548,2023-01-04,HR,Expense,Employee Events,4710.37,EUR,,CC-HR-01,Bank Transfer,Approved
TXN-107956,2023-01-04,Operations,Revenue,Consulting Revenue,245.93,USD,0.26,CC-OPS-01,Bank Transfer,Approved
TXN-117528,2023-01-04,Operations,Expense,Equipment Purchase,4160.73,USD,,CC-OPS-03,Bank Transfer,Approved
TXN-117367,2023-01-04,Sales,Expense,Travel Expenses,1597.62,USD,,CC-SALES-01,Bank Transfer,Approved
TXN-105913,2023-01-04,Marketing,Expense,Content Creation,2092.13,USD,,CC-MKT-03,Bank Transfer,Rejected
TXN-129570,2023-01-04,Sales,Revenue,Service Revenue,50921.81,EUR,0.7,CC-SALES-01,Bank Transfer,Approved
TXN-129887,2023-01-04,Marketing,Expense,SEO Services,7260.01,USD,,CC-MKT-03,Cash,Approved
TXN-127436,2023-01-04,Operations,Expense,Maintenance,1135.27,GBP,,CC-OPS-01,Credit,Approved
TXN-108042,2023-01-04,Marketing,Expense,Content Creation,16836.34,USD,,CC-MKT-02,Bank Transfer,Approved
TXN-129118,2023-01-04,Operations,Revenue,Consulting Revenue,325.41,USD,0.17,CC-OPS-04,Credit,Approved
TXN-117415,2023-01-04,HR,Expense,Benefits,8543.15,USD,,CC-HR-01,Bank Transfer,Approved
TXN-107836,2023-01-04,Sales,Revenue,License Sales,20802.77,USD,0.72,CC-SALES-01,Credit,Approved
TXN-121762,2023-01-04,IT,Expense,Software Licenses,14960.11,INR,,CC-IT-01,Credit,Approved
TXN-102663,2023-01-04,Operations,Revenue,Consulting Revenue,41672.79,EUR,0.56,CC-OPS-04,UPI,Approved
TXN-115275,2023-01-04,Operations,Expense,Logistics Costs,1134.66,USD,,CC-OPS-03,Bank Transfer,Approved
TXN-120778,2023-01-04,Operations,Expense,Equipment Purchase,1401.44,EUR,,CC-OPS-02,Credit,Approved
TXN-116340,2023-01-04,Sales,Revenue,Contract Revenue,43181.21,EUR,0.66,CC-SALES-02,UPI,Approved
TXN-125909,2023-01-04,IT,Expense,Cybersecurity,2603.02,INR,,CC-IT-01,Bank Transfer,Approved
TXN-101170,2023-01-04,Sales,Revenue,Contract Revenue,6530.52,INR,0.72,CC-SALES-03,UPI,Approved
TXN-116380,2023-01-04,HR,Expense,Benefits,1291.54,USD,,CC-HR-01,Bank Transfer,Approved
TXN-117462,2023-01-04,Sales,Revenue,Service Revenue,1097.52,USD,0.62,CC-SALES-03,Cash,Approved
TXN-121871,2023-01-04,HR,Expense,Payroll Taxes,7799.03,EUR,,CC-HR-01,UPI,Approved
TXN-102689,2023-01-04,IT,Expense,IT Support,7927.54,INR,,CC-IT-02,Credit,Approved
TXN-129519,2023-01-04,Sales,Revenue,Service Revenue,7684.99,INR,0.53,CC-SALES-02,Bank Transfer,Approved
TXN-116455,2023-01-04,IT,Expense,Hardware Purchase,2451.1,INR,,CC-IT-01,Bank Transfer,Pending
TXN-100710,2023-01-04,Sales,Revenue,Product Sales,815.25,INR,0.7,CC-SALES-03,Bank Transfer,Approved
TXN-121603,2023-01-04,Operations,Expense,Equipment Purchase,3803.34,EUR,,CC-OPS-02,Bank Transfer,Approved
TXN-117599,2023-01-04,Operations,Revenue,Operational Revenue,5725.48,USD,0.45,CC-OPS-04,Credit,Approved
TXN-106267,2023-01-04,Sales,Revenue,Contract Revenue,1612.15,INR,0.5,CC-SALES-01,Bank Transfer,Approved
TXN-119619,2023-01-04,Marketing,Expense,Social Media Ads,6097.03,INR,,CC-MKT-02,Bank Transfer,Pending
TXN-107174,2023-01-04,Sales,Revenue,Subscription Revenue,2437.52,USD,0.36,CC-SALES-02,Bank Transfer,Approved
TXN-124588,2023-01-04,Operations,Revenue,Service Fees,1987.59,INR,0.3,CC-OPS-04,Bank Transfer,Approved
TXN-106417,2023-01-04,Operations,Expense,Maintenance,11118.68,USD,,CC-OPS-04,UPI,Pending
TXN-106386,2023-01-04,Operations,Revenue,Service Fees,771.33,USD,0.43,CC-OPS-01,Credit,Approved
TXN-102191,2023-01-04,Sales,Expense,Client Entertainment,2063.89,USD,,CC-SALES-01,Credit,Approved
TXN-123280,2023-01-04,HR,Expense,Training Programs,27087.77,INR,,CC-HR-01,Bank Transfer,Approved
TXN-127841,2023-01-04,IT,Expense,Cybersecurity,69321.75,GBP,,CC-IT-01,UPI,Approved
TXN-102065,2023-01-04,Sales,Revenue,Contract Revenue,1930.79,INR,0.55,CC-SALES-01,Bank Transfer,Approved
TXN-127749,2023-01-04,Sales,Expense,Sales Tools,3114.53,GBP,,CC-SALES-01,Credit,Approved
TXN-113799,2023-01-04,Operations,Expense,Utilities,1319.71,USD,,CC-OPS-02,Credit,Approved
TXN-107473,2023-01-04,Operations,Expense,Utilities,7759.08,INR,,CC-OPS-01,Credit,Approved
TXN-106425,2023-01-04,HR,Expense,Training Programs,19186.28,EUR,,CC-HR-01,Bank Transfer,Pending
TXN-119844,2023-01-05,Sales,Expense,Travel Expenses,172.83,GBP,,CC-SALES-01,Credit,Approved
TXN-100461,2023-01-05,Operations,Revenue,Service Fees,10609.16,USD,0.45,CC-OPS-03,Bank Transfer,Approved
TXN-124829,2023-01-05,Sales,Expense,Client Entertainment,3705.28,USD,,CC-SALES-03,Bank Transfer,Rejected
TXN-117844,2023-01-05,Sales,Revenue,Subscription Revenue,882.53,INR,0.78,CC-SALES-01,UPI,Approved
TXN-104443,2023-01-05,Sales,Revenue,Contract Revenue,9171.73,USD,0.74,CC-SALES-03,Bank Transfer,Pending
TXN-107575,2023-01-05,Operations,Expense,Logistics Costs,273.82,USD,,CC-OPS-02,Cash,Approved
TXN-129166,2023-01-05,Sales,Revenue,Service Revenue,11691.48,USD,0.73,CC-SALES-03,Bank Transfer,Approved
TXN-115889,2023-01-05,IT,Expense,IT Support,17745.12,GBP,,CC-IT-01,Credit,Approved
TXN-122810,2023-01-05,Sales,Revenue,Subscription Revenue,323557.07,USD,0.71,CC-SALES-01,Bank Transfer,Pending
TXN-122457,2023-01-05,Marketing,Expense,Social Media Ads,89.6,USD,,CC-MKT-01,Bank Transfer,Approved
TXN-116030,2023-01-05,Operations,Expense,Supplies,2137.12,EUR,,CC-OPS-04,Bank Transfer,Pending
TXN-115982,2023-01-05,Marketing,Revenue,Event Revenue,3238.67,GBP,0.53,CC-MKT-02,UPI,Approved
TXN-126302,2023-01-05,Operations,Expense,Utilities,3863.83,USD,,CC-OPS-03,UPI,Pending
TXN-105785,2023-01-05,Operations,Expense,Maintenance,3442.62,USD,,CC-OPS-03,Bank Transfer,Pending
TXN-113255,2023-01-05,Operations,Expense,Maintenance,572.68,USD,,CC-OPS-04,UPI,Approved
TXN-128784,2023-01-05,Marketing,Expense,Brand Development,10382.17,EUR,,CC-MKT-02,Bank Transfer,Approved
TXN-100224,2023-01-05,HR,Expense,Payroll Taxes,5724.43,INR,,CC-HR-01,Credit,Pending
TXN-128405,2023-01-05,HR,Expense,Training Programs,31160.19,EUR,,CC-HR-02,Bank Transfer,Approved
TXN-109438,2023-01-05,IT,Expense,Network Costs,754.68,USD,,CC-IT-02,Credit,Approved
TXN-116608,2023-01-05,IT,Expense,Software Licenses,14115.88,USD,,CC-IT-02,Bank Transfer,Approved
TXN-101849,2023-01-05,Marketing,Revenue,Event Revenue,1894.41,USD,0.52,CC-MKT-01,UPI,Approved
TXN-123887,2023-01-05,Operations,Expense,Office Rent,2023.57,USD,,CC-OPS-01,Bank Transfer,Approved
TXN-123090,2023-01-05,Operations,Expense,Supplies,3657.68,USD,,CC-OPS-02,Bank Transfer,Approved
TXN-107874,2023-01-05,HR,Expense,Payroll Taxes,3153.72,USD,,CC-HR-02,Credit,Approved
TXN-110184,2023-01-05,Marketing,Revenue,Sponsorship Income,4033.06,INR,0.48,CC-MKT-03,Credit,Approved
TXN-116939,2023-01-05,HR,Expense,Benefits,1090.83,INR,,CC-HR-01,UPI,Pending
TXN-108869,2023-01-05,Operations,Expense,Office Rent,3828.81,USD,,CC-OPS-02,Bank Transfer,Approved
TXN-121779,2023-01-05,IT,Expense,Cybersecurity,139736.49,EUR,,CC-IT-01,UPI,Approved
TXN-111089,2023-01-05,IT,Expense,Network Costs,5486.47,GBP,,CC-IT-02,Cash,Approved
TXN-129476,2023-01-05,Sales,Revenue,Contract Revenue,27065.67,USD,0.72,CC-SALES-03,Bank Transfer,Approved
TXN-126001,2023-01-05,Sales,Expense,Sales Commission,279.93,EUR,,CC-SALES-02,Credit,Approved
TXN-111796,2023-01-05,HR,Expense,Salaries,34890.13,INR,,CC-HR-02,UPI,Approved
TXN-102679,2023-01-05,Sales,Revenue,Service Revenue,1688.44,USD,0.59,CC-SALES-03,Credit,Approved
TXN-106324,2023-01-05,IT,Expense,Cloud Infrastructure,424.03,USD,,CC-IT-02,Credit,Approved
TXN-105483,2023-01-05,Sales,Expense,Client Entertainment,2993.66,USD,,CC-SALES-01,Credit,Approved
TXN-102205,2023-01-05,IT,Expense,Cybersecurity,484.44,INR,,CC-IT-01,Bank Transfer,Approved
TXN-127701,2023-01-05,Sales,Revenue,License Sales,31107.19,EUR,0.64,CC-SALES-03,Bank Transfer,Pending
TXN-115164,2023-01-05,Marketing,Revenue,Sponsorship Income,1966.1,USD,0.34,CC-MKT-01,Credit,Approved
TXN-125182,2023-01-05,Marketing,Expense,Brand Development,168.44,USD,,CC-MKT-01,Credit,Pending
TXN-117042,2023-01-05,Operations,Expense,Maintenance,634.72,USD,,CC-OPS-03,Bank Transfer,Approved
TXN-122032,2023-01-05,Operations,Expense,Maintenance,417.56,USD,,CC-OPS-01,Bank Transfer,Approved
TXN-105001,2023-01-05,IT,Expense,Network Costs,41269.94,USD,,CC-IT-02,UPI,Approved
TXN-101164,2023-01-05,Sales,Expense,Sales Tools,2944.84,INR,,CC-SALES-01,Credit,Approved
TXN-124767,2023-01-06,Sales,Revenue,Service Revenue,25147.35,GBP,0.7,CC-SALES-01,Bank Transfer,Approved
TXN-119578,2023-01-06,HR,Expense,Recruitment Costs,6572.01,EUR,,CC-HR-01,Credit,Approved
TXN-119404,2023-01-06,Operations,Expense,Office Rent,11315.82,EUR,,CC-OPS-01,UPI,Approved
TXN-114309,2023-01-06,Sales,Expense,Sales Tools,681.79,USD,,CC-SALES-03,Bank Transfer,Approved
TXN-122531,2023-01-06,HR,Expense,Employee Events,48300.94,GBP,,CC-HR-02,Bank Transfer,Approved
TXN-122751,2023-01-06,Sales,Revenue,Product Sales,148285.32,INR,0.44,CC-SALES-03,Bank Transfer,Pending
TXN-123680,2023-01-06,Marketing,Revenue,Affiliate Revenue,6086.3,INR,0.52,CC-MKT-01,Credit,Approved
TXN-110912,2023-01-06,IT,Expense,Cloud Infrastructure,196030.43,USD,,CC-IT-02,Bank Transfer,Approved
TXN-109336,2023-01-06,Marketing,Expense,Social Media Ads,1199.2,USD,,CC-MKT-01,Bank Transfer,Approved
TXN-121663,2023-01-06,IT,Expense,IT Support,32817.28,GBP,,CC-IT-02,UPI,Approved
TXN-119957,2023-01-06,Sales,Expense,Trade Show Costs,2801.63,GBP,,CC-SALES-01,UPI,Pending
TXN-113142,2023-01-06,HR,Expense,Salaries,15826.41,EUR,,CC-HR-01,Credit,Approved
TXN-123553,2023-01-06,Operations,Expense,Maintenance,5229.37,USD,,CC-OPS-01,Cash,Approved
TXN-124088,2023-01-06,Sales,Revenue,Service Revenue,14404.42,INR,0.61,CC-SALES-01,Bank Transfer,Approved
TXN-126847,2023-01-06,HR,Expense,Training Programs,37256.37,INR,,CC-HR-02,Bank Transfer,Pending
TXN-127556,2023-01-06,Sales,Expense,Sales Tools,2159.0,INR,,CC-SALES-02,Bank Transfer,Approved
TXN-123185,2023-01-06,Operations,Expense,Utilities,2105.5,USD,,CC-OPS-04,Credit,Approved
TXN-108944,2023-01-06,Sales,Revenue,Product Sales,13336.52,INR,0.53,CC-SALES-02,UPI,Approved
TXN-121678,2023-01-06,Operations,Revenue,Service Fees,989.4,INR,0.39,CC-OPS-04,UPI,Rejected
TXN-115329,2023-01-06,Marketing,Revenue,Sponsorship Income,2304.34,USD,0.33,CC-MKT-01,Bank Transfer,Approved
TXN-100654,2023-01-06,Operations,Revenue,Consulting Revenue,16347.59,INR,0.58,CC-OPS-04,UPI,Approved
TXN-105302,2023-01-06,Sales,Expense,Sales Tools,176.04,GBP,,CC-SALES-01,Bank Transfer,Approved
TXN-104028,2023-01-06,IT,Expense,Software Licenses,11458.34,INR,,CC-IT-01,Credit,Approved
TXN-101063,2023-01-06,HR,Expense,Employee Events,5906.7,USD,,CC-HR-01,Cash,Rejected
TXN-102756,2023-01-06,Operations,Expense,Utilities,7062.72,USD,,CC-OPS-03,Credit,Approved
TXN-123900,2023-01-06,IT,Expense,Software Licenses,2676.36,USD,,CC-IT-02,Bank Transfer,Approved
TXN-101666,2023-01-06,HR,Expense,Benefits,3755.78,INR,,CC-HR-02,Credit,Approved
TXN-118902,2023-01-06,Operations,Expense,Utilities,8768.04,USD,,CC-OPS-03,Bank Transfer,Approved
TXN-128318,2023-01-06,Marketing,Expense,Advertising Spend,1879.07,USD,,CC-MKT-01,UPI,Approved
TXN-127672,2023-01-06,HR,Expense,Employee Events,5131.94,EUR,,CC-HR-02,Credit,Approved
TXN-114853,2023-01-06,Operations,Expense,Office Rent,9481.47,USD,,CC-OPS-02,Credit,Approved
TXN-112529,2023-01-06,IT,Expense,Software Licenses,1489.56,GBP,,CC-IT-01,Bank Transfer,Approved
TXN-109685,2023-01-06,Operations,Revenue,Consulting Revenue,2736.78,GBP,0.42,CC-OPS-03,Bank Transfer,Approved
TXN-127743,2023-01-06,Marketing,Expense,Marketing Campaign,10075.68,USD,,CC-MKT-01,Credit,Approved
TXN-123730,2023-01-06,Operations,Expense,Maintenance,628.08,USD,,CC-OPS-02,Credit,Approved
TXN-114013,2023-01-06,Marketing,Revenue,Campaign Revenue,1449.75,USD,0.43,CC-MKT-01,Bank Transfer,Rejected
TXN-112207,2023-01-06,Operations,Revenue,Consulting Revenue,386.49,INR,0.24,CC-OPS-04,UPI,Pending
TXN-127306,2023-01-06,Operations,Expense,Maintenance,3084.13,USD,,CC-OPS-02,UPI,Approved
TXN-121797,2023-01-06,Operations,Expense,Equipment Purchase,5349.27,EUR,,CC-OPS-02,Bank Transfer,Approved
TXN-110549,2023-01-06,Operations,Revenue,Consulting Revenue,4936.8,USD,0.54,CC-OPS-03,UPI,Approved
